"","gene_ref","gene_id","gene_name","condition_1","condition_2","gene_switch_q_value","switchConsequencesGene","Rank"
"1","geneComp_00016173","Klf3","Klf3","sgC9","sgNTC",4.52518245127994e-132,TRUE,1
"3","geneComp_00014698","Grb2","Grb2","sgC9","sgNTC",4.55889658624503e-78,TRUE,2
"4","geneComp_00001898","Anpep","Anpep","sgC9","sgNTC",2.94712918527497e-65,TRUE,3
"5","geneComp_00021485","Rps24","Rps24","sgC9","sgNTC",6.17741480444377e-50,FALSE,4
"7","geneComp_00016972","Mars1","Mars1","sgC9","sgNTC",1.32322554325352e-46,TRUE,5
"8","geneComp_00006927","Eya3","Eya3","sgC9","sgNTC",1.65973967478828e-46,TRUE,6
"10","geneComp_00020945","Repin1","Repin1","sgC9","sgNTC",2.14277885344927e-45,FALSE,7
"13","geneComp_00016995","Mavs","Mavs","sgC9","sgNTC",4.65188687379929e-43,FALSE,8
"15","geneComp_00002271","Atad2","Atad2","sgC9","sgNTC",8.80521443847697e-42,TRUE,9
"17","geneComp_00019276","Pcyt1a","Pcyt1a","sgC9","sgNTC",7.05773172851154e-38,FALSE,10
"19","geneComp_00002182","Arpc2","Arpc2","sgC9","sgNTC",4.89918652747048e-37,TRUE,11
"21","geneComp_00023616","Tcf25","Tcf25","sgC9","sgNTC",2.31101102588487e-36,FALSE,12
"24","geneComp_00024907","Ubtf","Ubtf","sgC9","sgNTC",1.15330214387383e-34,FALSE,13
"25","geneComp_00023608","Tceanc2","Tceanc2","sgC9","sgNTC",1.77809723881773e-34,TRUE,14
"27","geneComp_00019460","Pgpep1","Pgpep1","sgC9","sgNTC",3.85712683295098e-34,TRUE,15
"29","geneComp_00020876","Rbpj","Rbpj","sgC9","sgNTC",5.82396854952139e-34,FALSE,16
"31","geneComp_00021316","Rpl22l1","Rpl22l1","sgC9","sgNTC",6.46984131387492e-34,TRUE,17
"33","geneComp_00017528","Mrpl13","Mrpl13","sgC9","sgNTC",2.78702404005916e-33,TRUE,18
"35","geneComp_00022753","Snhg5","Snhg5","sgC9","sgNTC",1.60746222261339e-30,TRUE,19
"38","geneComp_00015098","Helq","Helq","sgC9","sgNTC",2.49080235782437e-29,TRUE,20
"40","geneComp_00021039","Rhod","Rhod","sgC9","sgNTC",1.04350216911585e-27,TRUE,21
"42","geneComp_00018023","Ndst2","Ndst2","sgC9","sgNTC",1.76757190753573e-26,FALSE,22
"43","geneComp_00016350","Lancl1","Lancl1","sgC9","sgNTC",1.9125777372701e-26,TRUE,23
"45","geneComp_00024791","Txndc9","Txndc9","sgC9","sgNTC",7.72027016245212e-26,TRUE,24
"47","geneComp_00018011","Ndel1","Ndel1","sgC9","sgNTC",8.1911966674662e-26,TRUE,25
"49","geneComp_00022215","Sirpa","Sirpa","sgC9","sgNTC",1.5155002447188e-25,TRUE,26
"51","geneComp_00022978","Spg20","Spg20","sgC9","sgNTC",3.37857406554207e-25,FALSE,27
"53","geneComp_00015236","Hnrnpdl","Hnrnpdl","sgC9","sgNTC",6.26429902549587e-25,TRUE,28
"55","geneComp_00023118","Srsf3","Srsf3","sgC9","sgNTC",8.93981976023048e-25,TRUE,29
"57","geneComp_00002340","Atp2b1","Atp2b1","sgC9","sgNTC",1.94220319813198e-24,TRUE,30
"59","geneComp_00001508","Adipor1","Adipor1","sgC9","sgNTC",2.17527574740081e-23,FALSE,31
"61","geneComp_00025497","Wipi1","Wipi1","sgC9","sgNTC",3.72957721280405e-23,FALSE,32
"63","geneComp_00007864","Glud1","Glud1","sgC9","sgNTC",1.05361308869522e-22,TRUE,33
"65","geneComp_00024983","Ung","Ung","sgC9","sgNTC",1.56122784502812e-22,TRUE,34
"66","geneComp_00026158","Zfx","Zfx","sgC9","sgNTC",2.15854894976534e-22,FALSE,35
"67","geneComp_00019328","Pdhx","Pdhx","sgC9","sgNTC",4.14427800356899e-22,TRUE,36
"69","geneComp_00021417","Rpp21","Rpp21","sgC9","sgNTC",1.12344870075681e-21,TRUE,37
"71","geneComp_00019073","Pak4","Pak4","sgC9","sgNTC",1.30356509418547e-21,TRUE,38
"73","geneComp_00015744","Ipo9","Ipo9","sgC9","sgNTC",4.43994643473357e-21,TRUE,39
"75","geneComp_00001927","Ap1g1","Ap1g1","sgC9","sgNTC",9.48600876190509e-21,TRUE,40
"77","geneComp_00022699","Smox","Smox","sgC9","sgNTC",2.02349430112575e-20,TRUE,41
"79","geneComp_00019862","Pnpla6","Pnpla6","sgC9","sgNTC",3.1012228388908e-20,TRUE,42
"81","geneComp_00022201","Sik1","Sik1","sgC9","sgNTC",3.1012228388908e-20,TRUE,43
"83","geneComp_00020821","Rbfox2","Rbfox2","sgC9","sgNTC",4.04880829959369e-20,TRUE,44
"85","geneComp_00018366","Npnt","Npnt","sgC9","sgNTC",6.06195036155247e-20,FALSE,45
"87","geneComp_00004835","Dclk1","Dclk1","sgC9","sgNTC",1.67257021391087e-19,TRUE,46
"89","geneComp_00024465","Trim26","Trim26","sgC9","sgNTC",2.11835307514811e-19,TRUE,47
"90","geneComp_00024837","Ubb-ps","Ubb-ps","sgC9","sgNTC",2.83127452107138e-19,TRUE,48
"92","geneComp_00020240","Prmt6","Prmt6","sgC9","sgNTC",4.46582040019622e-19,TRUE,49
"93","geneComp_00023212","Steap2","Steap2","sgC9","sgNTC",4.94999525129098e-19,TRUE,50
"95","geneComp_00017142","Men1","Men1","sgC9","sgNTC",6.22958367129602e-19,TRUE,51
"97","geneComp_00002386","Atp6v1h","Atp6v1h","sgC9","sgNTC",6.59242012278437e-19,TRUE,52
"99","geneComp_00017710","Mtmr10","Mtmr10","sgC9","sgNTC",1.05414240029882e-18,TRUE,53
"101","geneComp_00002215","Asap1","Asap1","sgC9","sgNTC",1.65285795781911e-18,FALSE,54
"102","geneComp_00019643","Pkdcc","Pkdcc","sgC9","sgNTC",3.80035551242832e-18,TRUE,55
"104","geneComp_00016077","Kdm2b","Kdm2b","sgC9","sgNTC",4.15172255041239e-18,TRUE,56
"106","geneComp_00021076","Rin2","Rin2","sgC9","sgNTC",5.77553181287337e-18,FALSE,57
"108","geneComp_00015481","Ifi203","Ifi203","sgC9","sgNTC",9.73261914968038e-18,TRUE,58
"110","geneComp_00021378","Rpl38","Rpl38","sgC9","sgNTC",1.39241096349353e-17,FALSE,59
"112","geneComp_00014891","H2-Ke6","H2-Ke6","sgC9","sgNTC",2.25545893558633e-17,TRUE,60
"113","geneComp_00018636","Ogfod2","Ogfod2","sgC9","sgNTC",2.6621174235489e-17,TRUE,61
"114","geneComp_00016036","Kcnn4","Kcnn4","sgC9","sgNTC",2.87579192774506e-17,FALSE,62
"116","geneComp_00022886","Sox5","Sox5","sgC9","sgNTC",3.0318645464995e-17,TRUE,63
"117","geneComp_00025760","Zfp101","Zfp101","sgC9","sgNTC",4.54916742006992e-17,TRUE,64
"118","geneComp_00002148","Arl6","Arl6","sgC9","sgNTC",4.72798623180044e-17,FALSE,65
"120","geneComp_00004793","Dapk3","Dapk3","sgC9","sgNTC",5.72739270553399e-17,TRUE,66
"121","geneComp_00005718","Emp3","Emp3","sgC9","sgNTC",6.0766704679184e-17,FALSE,67
"123","geneComp_00025135","Vcan","Vcan","sgC9","sgNTC",6.36148241459587e-17,TRUE,68
"125","geneComp_00017788","Myef2","Myef2","sgC9","sgNTC",6.44458727362754e-17,FALSE,69
"129","geneComp_00004449","Csde1","Csde1","sgC9","sgNTC",8.09495165142557e-17,FALSE,70
"131","geneComp_00021966","Septin8","Septin8","sgC9","sgNTC",8.09495165142557e-17,TRUE,71
"133","geneComp_00022068","Sfpq","Sfpq","sgC9","sgNTC",1.14494293715505e-16,TRUE,72
"135","geneComp_00005040","Dis3l","Dis3l","sgC9","sgNTC",1.75331744829735e-16,FALSE,73
"136","geneComp_00006733","Epb41l2","Epb41l2","sgC9","sgNTC",1.81240248411608e-16,FALSE,74
"137","geneComp_00019825","Plxnd1","Plxnd1","sgC9","sgNTC",2.04720323724645e-16,TRUE,75
"138","geneComp_00004245","Comt","Comt","sgC9","sgNTC",2.10708830505563e-16,FALSE,76
"140","geneComp_00002347","Atp5c1","Atp5c1","sgC9","sgNTC",2.29661158186793e-16,FALSE,77
"142","geneComp_00025525","Wsb1","Wsb1","sgC9","sgNTC",3.48347428993328e-16,TRUE,78
"144","geneComp_00000034","1110038B12Rik","1110038B12Rik","sgC9","sgNTC",4.46477090631468e-16,TRUE,79
"146","geneComp_00017541","Mrpl24","Mrpl24","sgC9","sgNTC",5.23197223040594e-16,TRUE,80
"148","geneComp_00025612","Ypel3","Ypel3","sgC9","sgNTC",1.27331523734135e-15,TRUE,81
"149","geneComp_00019766","Plekhj1","Plekhj1","sgC9","sgNTC",1.43729034407619e-15,TRUE,82
"151","geneComp_00015326","Hras","Hras","sgC9","sgNTC",3.85324559054014e-15,FALSE,83
"153","geneComp_00002134","Arl13b","Arl13b","sgC9","sgNTC",4.06394927851556e-15,TRUE,84
"155","geneComp_00025818","Zfp280b","Zfp280b","sgC9","sgNTC",4.901394479342e-15,TRUE,85
"157","geneComp_00016095","Kdsr","Kdsr","sgC9","sgNTC",7.01454795097042e-15,TRUE,86
"159","geneComp_00022498","Slc44a1","Slc44a1","sgC9","sgNTC",1.27770639209848e-14,TRUE,87
"161","geneComp_00001941","Ap3d1","Ap3d1","sgC9","sgNTC",1.69878774567842e-14,TRUE,88
"163","geneComp_00015270","Hoxa3","Hoxa3","sgC9","sgNTC",2.74454570074666e-14,TRUE,89
"165","geneComp_00017123","Mef2d","Mef2d","sgC9","sgNTC",3.04146463042553e-14,TRUE,90
"167","geneComp_00017807","Myl6","Myl6","sgC9","sgNTC",4.69474558404222e-14,FALSE,91
"169","geneComp_00017631","Msl1","Msl1","sgC9","sgNTC",6.05396862948038e-14,TRUE,92
"170","geneComp_00021489","Rps26","Rps26","sgC9","sgNTC",1.04079069710737e-13,TRUE,93
"172","geneComp_00001503","Adh7","Adh7","sgC9","sgNTC",1.05810759487912e-13,TRUE,94
"174","geneComp_00015066","Hdac7","Hdac7","sgC9","sgNTC",1.31134854725052e-13,FALSE,95
"176","geneComp_00002315","Atosa","Atosa","sgC9","sgNTC",1.98620175480732e-13,TRUE,96
"177","geneComp_00024868","Ube2q2","Ube2q2","sgC9","sgNTC",2.28283678352561e-13,TRUE,97
"178","geneComp_00022636","Smarcb1","Smarcb1","sgC9","sgNTC",2.77212416107456e-13,FALSE,98
"180","geneComp_00023114","Srsf1","Srsf1","sgC9","sgNTC",3.039782678929e-13,TRUE,99
"184","geneComp_00023311","Suds3","Suds3","sgC9","sgNTC",3.0888290937776e-13,TRUE,100
"186","geneComp_00020852","Rbm41","Rbm41","sgC9","sgNTC",3.10974745905948e-13,TRUE,101
"187","geneComp_00003339","Ccdc58","Ccdc58","sgC9","sgNTC",3.62117357244661e-13,TRUE,102
"188","geneComp_00021949","Senp6","Senp6","sgC9","sgNTC",4.6652757740367e-13,TRUE,103
"190","geneComp_00022817","Snx12","Snx12","sgC9","sgNTC",5.10554491593679e-13,TRUE,104
"193","geneComp_00025798","Zfp219","Zfp219","sgC9","sgNTC",5.50834708116471e-13,FALSE,105
"195","geneComp_00021960","Septin2","Septin2","sgC9","sgNTC",6.23837140760157e-13,TRUE,106
"196","geneComp_00001878","Ankrd9","Ankrd9","sgC9","sgNTC",9.96483146204583e-13,FALSE,107
"198","geneComp_00024461","Trim21","Trim21","sgC9","sgNTC",1.04573203963464e-12,TRUE,108
"199","geneComp_00022703","Smpd4","Smpd4","sgC9","sgNTC",1.07937790518915e-12,FALSE,109
"200","geneComp_00018079","Neat1","Neat1","sgC9","sgNTC",1.38658063606088e-12,TRUE,110
"202","geneComp_00017888","Naa80","Naa80","sgC9","sgNTC",1.53336084780469e-12,TRUE,111
"204","geneComp_00021271","Rpl12","Rpl12","sgC9","sgNTC",1.54996876574122e-12,TRUE,112
"206","geneComp_00015365","Hsf4","Hsf4","sgC9","sgNTC",1.59350916745856e-12,TRUE,113
"208","geneComp_00015724","Ints3","Ints3","sgC9","sgNTC",2.48586905943876e-12,TRUE,114
"210","geneComp_00008168","Gm11520","Gm11520","sgC9","sgNTC",4.58709221390443e-12,TRUE,115
"212","geneComp_00025685","Zc3h12a","Zc3h12a","sgC9","sgNTC",5.42132892412392e-12,TRUE,116
"214","geneComp_00025450","Wdr62","Wdr62","sgC9","sgNTC",5.64874091384803e-12,TRUE,117
"216","geneComp_00022818","Snx13","Snx13","sgC9","sgNTC",5.72091310514122e-12,TRUE,118
"218","geneComp_00021587","Rsph3b","Rsph3b","sgC9","sgNTC",6.50514167989626e-12,TRUE,119
"221","geneComp_00016930","Mapk12","Mapk12","sgC9","sgNTC",6.95307782811163e-12,TRUE,120
"223","geneComp_00004986","Dguok","Dguok","sgC9","sgNTC",8.16503549573397e-12,TRUE,121
"225","geneComp_00005664","Elk4","Elk4","sgC9","sgNTC",8.49610781701708e-12,TRUE,122
"226","geneComp_00024615","Tslp","Tslp","sgC9","sgNTC",1.12508555164567e-11,TRUE,123
"228","geneComp_00023902","Tln2","Tln2","sgC9","sgNTC",1.15281459197036e-11,FALSE,124
"230","geneComp_00007350","Fkbpl","Fkbpl","sgC9","sgNTC",1.18505419681847e-11,TRUE,125
"232","geneComp_00022367","Slc25a37","Slc25a37","sgC9","sgNTC",1.51476761738942e-11,TRUE,126
"234","geneComp_00004935","Dennd10","Dennd10","sgC9","sgNTC",2.02714882767962e-11,TRUE,127
"235","geneComp_00026223","Zranb2","Zranb2","sgC9","sgNTC",2.67934262917254e-11,FALSE,128
"236","geneComp_00015440","Iars","Iars","sgC9","sgNTC",3.94069102066279e-11,FALSE,129
"237","geneComp_00017588","Mrps23","Mrps23","sgC9","sgNTC",4.24441772148043e-11,TRUE,130
"239","geneComp_00021516","Rps6ka5","Rps6ka5","sgC9","sgNTC",4.7141675158993e-11,FALSE,131
"241","geneComp_00016814","Madd","Madd","sgC9","sgNTC",5.03620549748913e-11,FALSE,132
"243","geneComp_00019314","Pde7a","Pde7a","sgC9","sgNTC",5.06921749912328e-11,TRUE,133
"245","geneComp_00025731","Zdhhc24","Zdhhc24","sgC9","sgNTC",5.06921749912328e-11,TRUE,134
"246","geneComp_00001095","A530040E14Rik","A530040E14Rik","sgC9","sgNTC",8.24457419628452e-11,TRUE,135
"247","geneComp_00021719","Sap130","Sap130","sgC9","sgNTC",8.63495363329167e-11,FALSE,136
"249","geneComp_00016803","Maco1","Maco1","sgC9","sgNTC",1.199558450196e-10,TRUE,137
"251","geneComp_00018614","Ocrl","Ocrl","sgC9","sgNTC",1.44197522745764e-10,TRUE,138
"253","geneComp_00016314","Ktn1","Ktn1","sgC9","sgNTC",2.17163807899238e-10,FALSE,139
"254","geneComp_00007267","Fetub","Fetub","sgC9","sgNTC",2.51743853503858e-10,TRUE,140
"256","geneComp_00005202","Dnttip1","Dnttip1","sgC9","sgNTC",2.61808866681937e-10,TRUE,141
"258","geneComp_00022577","Slc9a8","Slc9a8","sgC9","sgNTC",2.72751607674271e-10,TRUE,142
"260","geneComp_00004607","Cyb5r1","Cyb5r1","sgC9","sgNTC",2.79654454126108e-10,TRUE,143
"262","geneComp_00021712","Samhd1","Samhd1","sgC9","sgNTC",3.1607095395615e-10,FALSE,144
"264","geneComp_00001277","Abtb1","Abtb1","sgC9","sgNTC",3.7372869432893e-10,TRUE,145
"266","geneComp_00024901","Ubr3","Ubr3","sgC9","sgNTC",3.98023970816997e-10,FALSE,146
"268","geneComp_00026156","Zfr2","Zfr2","sgC9","sgNTC",4.16431185791712e-10,FALSE,147
"269","geneComp_00007751","Gfpt1","Gfpt1","sgC9","sgNTC",4.75721617916082e-10,FALSE,148
"270","geneComp_00005603","Eif2s2","Eif2s2","sgC9","sgNTC",5.5203527208039e-10,TRUE,149
"272","geneComp_00002103","Arhgef18","Arhgef18","sgC9","sgNTC",5.54234304818923e-10,TRUE,150
"273","geneComp_00020887","Rcan3","Rcan3","sgC9","sgNTC",6.14075364928509e-10,TRUE,151
"275","geneComp_00003135","Capn5","Capn5","sgC9","sgNTC",7.76136967144949e-10,FALSE,152
"277","geneComp_00004234","Commd10","Commd10","sgC9","sgNTC",7.85490570568222e-10,TRUE,153
"279","geneComp_00021656","Rxylt1","Rxylt1","sgC9","sgNTC",1.01411510798637e-09,TRUE,154
"281","geneComp_00002734","Bet1","Bet1","sgC9","sgNTC",1.02595918593273e-09,TRUE,155
"282","geneComp_00000469","3300005D01Rik","3300005D01Rik","sgC9","sgNTC",1.0423823984954e-09,TRUE,156
"284","geneComp_00007431","Foxj2","Foxj2","sgC9","sgNTC",1.08299087950054e-09,TRUE,157
"285","geneComp_00024717","Ttll3","Ttll3","sgC9","sgNTC",1.18613248044793e-09,FALSE,158
"286","geneComp_00003714","Cenpo","Cenpo","sgC9","sgNTC",1.37475914191451e-09,FALSE,159
"287","geneComp_00018166","Nfkbid","Nfkbid","sgC9","sgNTC",1.5951199428673e-09,FALSE,160
"288","geneComp_00024071","Tmem208","Tmem208","sgC9","sgNTC",1.72454888781305e-09,TRUE,161
"289","geneComp_00005288","Dscc1","Dscc1","sgC9","sgNTC",1.8962643925148e-09,TRUE,162
"291","geneComp_00009195","Gm15441","Gm15441","sgC9","sgNTC",2.90771837549192e-09,TRUE,163
"292","geneComp_00023761","Tfpt","Tfpt","sgC9","sgNTC",3.30642654705424e-09,FALSE,164
"294","geneComp_00026231","Zscan20","Zscan20","sgC9","sgNTC",4.62635487317789e-09,TRUE,165
"295","geneComp_00005289","Dse","Dse","sgC9","sgNTC",5.58068589925494e-09,TRUE,166
"296","geneComp_00025057","Usp31","Usp31","sgC9","sgNTC",5.87221715418957e-09,TRUE,167
"298","geneComp_00001691","Alcam","Alcam","sgC9","sgNTC",5.99642391164181e-09,FALSE,168
"299","geneComp_00024377","Tra2a","Tra2a","sgC9","sgNTC",6.10546969030525e-09,TRUE,169
"301","geneComp_00020946","Reps1","Reps1","sgC9","sgNTC",6.18611761373945e-09,FALSE,170
"302","geneComp_00025662","Zbtb4","Zbtb4","sgC9","sgNTC",9.91834728895804e-09,TRUE,171
"303","geneComp_00023745","Tfap4","Tfap4","sgC9","sgNTC",1.01821262456062e-08,TRUE,172
"304","geneComp_00000803","4933431E20Rik","4933431E20Rik","sgC9","sgNTC",1.0241249955709e-08,FALSE,173
"305","geneComp_00019791","Plod2","Plod2","sgC9","sgNTC",1.03641201363099e-08,FALSE,174
"307","geneComp_00017789","Myg1","Myg1","sgC9","sgNTC",1.12332861130835e-08,TRUE,175
"309","geneComp_00012345","Gm46430","Gm46430","sgC9","sgNTC",1.58624158215426e-08,TRUE,176
"310","geneComp_00021415","Rpn2","Rpn2","sgC9","sgNTC",1.79137747497987e-08,TRUE,177
"312","geneComp_00006841","Espl1","Espl1","sgC9","sgNTC",1.83756091481311e-08,FALSE,178
"313","geneComp_00005640","Eif4h","Eif4h","sgC9","sgNTC",1.84926764369085e-08,FALSE,179
"315","geneComp_00007397","Fndc3a","Fndc3a","sgC9","sgNTC",1.9419929874767e-08,FALSE,180
"317","geneComp_00024526","Trit1","Trit1","sgC9","sgNTC",2.05837962627804e-08,TRUE,181
"319","geneComp_00024378","Tra2b","Tra2b","sgC9","sgNTC",2.13611377370325e-08,TRUE,182
"322","geneComp_00024984","Unk","Unk","sgC9","sgNTC",2.42075957046633e-08,FALSE,183
"324","geneComp_00003561","Cdc42bpb","Cdc42bpb","sgC9","sgNTC",2.45888932647661e-08,TRUE,184
"326","geneComp_00019653","Pkn1","Pkn1","sgC9","sgNTC",2.45888932647661e-08,FALSE,185
"328","geneComp_00025625","Ywhaq","Ywhaq","sgC9","sgNTC",2.9173710145855e-08,TRUE,186
"330","geneComp_00020558","Pxylp1","Pxylp1","sgC9","sgNTC",2.91873360764959e-08,TRUE,187
"332","geneComp_00021972","Sergef","Sergef","sgC9","sgNTC",3.09870965678058e-08,TRUE,188
"334","geneComp_00006866","Etl4","Etl4","sgC9","sgNTC",3.14131814053203e-08,TRUE,189
"335","geneComp_00024676","Ttc23","Ttc23","sgC9","sgNTC",3.39768220418014e-08,TRUE,190
"336","geneComp_00019563","Pigp","Pigp","sgC9","sgNTC",3.49462167490515e-08,TRUE,191
"338","geneComp_00003910","Chrnb1","Chrnb1","sgC9","sgNTC",3.52621690131352e-08,TRUE,192
"339","geneComp_00005056","Dleu2","Dleu2","sgC9","sgNTC",3.58857041846164e-08,TRUE,193
"340","geneComp_00003107","Camk2d","Camk2d","sgC9","sgNTC",3.86842718966934e-08,FALSE,194
"342","geneComp_00024291","Tns2","Tns2","sgC9","sgNTC",4.33716184641275e-08,FALSE,195
"344","geneComp_00007905","Gm10138","Gm10138","sgC9","sgNTC",4.75295768580052e-08,TRUE,196
"345","geneComp_00025035","Usp13","Usp13","sgC9","sgNTC",4.9029003655018e-08,FALSE,197
"346","geneComp_00021635","Runx1","Runx1","sgC9","sgNTC",4.93033803353466e-08,FALSE,198
"348","geneComp_00023531","Tbc1d10c","Tbc1d10c","sgC9","sgNTC",6.83107211742956e-08,TRUE,199
"351","geneComp_00014890","H2-K2","H2-K2","sgC9","sgNTC",7.02157570955559e-08,TRUE,200
"352","geneComp_00018301","Nol4l","Nol4l","sgC9","sgNTC",7.18445051542342e-08,TRUE,201
"354","geneComp_00021542","Rpusd1","Rpusd1","sgC9","sgNTC",7.19564912137e-08,TRUE,202
"356","geneComp_00025906","Zfp469","Zfp469","sgC9","sgNTC",7.25173861286743e-08,TRUE,203
"358","geneComp_00005356","Dync1i2","Dync1i2","sgC9","sgNTC",7.29309841013845e-08,FALSE,204
"360","geneComp_00025529","Wtap","Wtap","sgC9","sgNTC",7.46377278947947e-08,TRUE,205
"361","geneComp_00015659","Immt","Immt","sgC9","sgNTC",7.62442704945892e-08,FALSE,206
"363","geneComp_00020064","Ppp1r3e","Ppp1r3e","sgC9","sgNTC",7.87661868804342e-08,TRUE,207
"364","geneComp_00016502","Lins1","Lins1","sgC9","sgNTC",8.56235784781097e-08,TRUE,208
"365","geneComp_00012923","Gm4924","Gm4924","sgC9","sgNTC",8.71249548756173e-08,TRUE,209
"367","geneComp_00007716","Gdap2","Gdap2","sgC9","sgNTC",9.34214286915699e-08,TRUE,210
"368","geneComp_00017685","Mterf2","Mterf2","sgC9","sgNTC",9.58936544273623e-08,TRUE,211
"369","geneComp_00001788","Ampd2","Ampd2","sgC9","sgNTC",9.79636974016305e-08,TRUE,212
"371","geneComp_00020610","Rab14","Rab14","sgC9","sgNTC",1.0219946860925e-07,TRUE,213
"373","geneComp_00002097","Arhgef10l","Arhgef10l","sgC9","sgNTC",1.32203819285736e-07,FALSE,214
"375","geneComp_00025628","Ywhaz","Ywhaz","sgC9","sgNTC",1.50599616327961e-07,FALSE,215
"377","geneComp_00023288","Stx2","Stx2","sgC9","sgNTC",1.69583810561107e-07,FALSE,216
"379","geneComp_00002504","B3galnt2","B3galnt2","sgC9","sgNTC",1.83577053757732e-07,TRUE,217
"380","geneComp_00021025","Rhbdl2","Rhbdl2","sgC9","sgNTC",1.86988789970203e-07,TRUE,218
"382","geneComp_00004315","Cpa2","Cpa2","sgC9","sgNTC",2.47702012444163e-07,TRUE,219
"384","geneComp_00005073","Dlx1","Dlx1","sgC9","sgNTC",2.58248740953914e-07,TRUE,220
"385","geneComp_00016264","Kpna6","Kpna6","sgC9","sgNTC",2.58248740953914e-07,FALSE,221
"387","geneComp_00019399","Pex11a","Pex11a","sgC9","sgNTC",3.11080408314796e-07,TRUE,222
"388","geneComp_00007172","Fbxl18","Fbxl18","sgC9","sgNTC",3.11276670599362e-07,FALSE,223
"390","geneComp_00000006","0610010K14Rik","0610010K14Rik","sgC9","sgNTC",3.12859199832537e-07,TRUE,224
"391","geneComp_00020602","Rab11fip1","Rab11fip1","sgC9","sgNTC",3.32876257911413e-07,TRUE,225
"393","geneComp_00014673","Gps1","Gps1","sgC9","sgNTC",3.52874524089663e-07,FALSE,226
"395","geneComp_00019184","Pccb","Pccb","sgC9","sgNTC",3.53150243806182e-07,FALSE,227
"396","geneComp_00017706","Mtif3","Mtif3","sgC9","sgNTC",3.67880182450382e-07,TRUE,228
"398","geneComp_00019687","Plac9","Plac9","sgC9","sgNTC",3.81257106059391e-07,FALSE,229
"399","geneComp_00015434","Hyou1","Hyou1","sgC9","sgNTC",3.85365746307876e-07,FALSE,230
"401","geneComp_00023596","Tcaim","Tcaim","sgC9","sgNTC",3.86355045025547e-07,TRUE,231
"402","geneComp_00016728","Ltc4s","Ltc4s","sgC9","sgNTC",3.87092653718638e-07,TRUE,232
"404","geneComp_00015505","Ifitm1","Ifitm1","sgC9","sgNTC",4.22599925617303e-07,TRUE,233
"406","geneComp_00019141","Parva","Parva","sgC9","sgNTC",4.43602487624027e-07,FALSE,234
"408","geneComp_00025740","Zeb2","Zeb2","sgC9","sgNTC",4.82649736451176e-07,TRUE,235
"410","geneComp_00025031","Usp1","Usp1","sgC9","sgNTC",5.13556367249653e-07,TRUE,236
"413","geneComp_00019525","Phtf2","Phtf2","sgC9","sgNTC",5.99322288022075e-07,TRUE,237
"415","geneComp_00017268","Midn","Midn","sgC9","sgNTC",6.03285764388599e-07,FALSE,238
"416","geneComp_00016098","Khdc4","Khdc4","sgC9","sgNTC",6.27960558524631e-07,TRUE,239
"418","geneComp_00023868","Timp2","Timp2","sgC9","sgNTC",6.47846422782318e-07,TRUE,240
"420","geneComp_00017141","Memo1","Memo1","sgC9","sgNTC",7.3525434147593e-07,TRUE,241
